"Table 27 -- World coarse grain trade: Selected exporters and importers by commodity (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export/import and country/region 1/,,1960/61,1961/62,1962/63,1963/64,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
Corn exporters,United States,"6,326","9,922","10,195","11,558","13,080","16,988","12,547","14,515","12,980","15,872","13,078","16,719","28,892","34,853","28,384","39,590","42,774","49,479","54,180","61,801","59,420","49,640","47,160","46,932","46,427","31,147","39,330","43,978","50,512","60,034","44,575","40,686","42,572","33,106","58,689","52,753","46,711","37,789","52,030","49,493","48,329","47,271","40,924","48,809","45,347","56,084","54,214","60,663","47,758","49,696","45,162","38,342","18,262","50,691","46,831","51,098","55,593","63,636","60,000"
,Israel,60,28,83,59,44,84,114,128,60,127,125,159,173,181,206,241,160,61,172,241,124,210,252,230,300,335,381,536,317,229,410,301,334,522,351,162,311,419,464,351,326,387,448,508,313,314,224,251,367,491,287,276,244,304,278,319,376,234,250
,United States,248,326,43,194,234,132,131,148,189,254,177,313,287,196,435,304,239,68,218,218,174,251,184,146,117,152,165,269,246,226,443,515,195,"2,054","1,128",798,896,758,606,644,663,538,282,497,157,124,354,712,572,302,148,470,431,523,430,352,217,170,250
,Kuwait,,,,,,,,,,,,,,,27,48,8,44,58,60,75,170,100,285,170,180,85,102,178,152,40,59,48,114,93,92,192,106,134,125,45,69,207,123,188,203,217,254,252,283,317,376,388,436,412,511,569,521,200
,Peru,11,7,15,24,14,13,17,18,10,17,12,11,30,35,39,31,40,40,20,35,37,40,40,25,78,63,58,56,30,75,39,42,49,57,37,66,64,66,50,50,51,72,75,73,64,81,96,104,74,73,83,97,103,87,122,98,169,56,150
,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,22,28,34,43,38,46,95,50,91,44,53,52,79,161,177,125
,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,705,640,515,86,206,2,85,79,80,24,100,151,67,3,11,120,50,25,75,75,75,50,25,107,28,11,1,7,112,54,100
,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,2,0,0,0,2,0,2,0,3,0,2,3,1,5,10,19,21,42,40,67,126,201,29,86,46,41,53,42,29,53,6,21,9,165,131,74,56,100
,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,2,2,0,34,0,1,2,67,325,89,100
,Morocco,112,313,84,1,2,0,27,6,3,2,4,5,38,12,101,11,0,40,10,10,123,220,1,53,87,5,0,4,0,0,200,250,591,120,372,130,73,251,951,747,506,689,156,143,565,444,462,313,263,248,222,536,148,471,276,958,407,363,100
,South Korea,169,123,250,196,192,111,2,171,128,17,11,382,554,407,554,39,40,481,4,0,0,0,0,145,0,0,0,0,17,32,47,76,55,67,121,52,81,65,113,106,85,102,65,67,63,41,53,24,49,38,46,73,73,79,67,62,56,63,90
,Lebanon,50,53,50,35,37,63,49,82,44,74,67,83,67,44,30,25,25,101,99,58,26,35,50,35,35,20,13,14,4,34,71,76,35,59,21,46,39,53,85,75,21,54,46,39,57,47,32,65,58,71,72,83,36,31,105,132,262,199,70
,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,700,"1,060",755,500,77,48,0,0,0,0,0,0,0,3,6,10,17,19,19,23,24,24,23,91,29,36,59,41,44,74,60
,Bosnia-Hercegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,2,3,6,0,2,0,9,19,32,28,24,29,28,16,21,31,21,16,14,24,25,38,32,32,50
,"Russian Federation, Begins 2/1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,840","2,070","2,290","3,555",809,"1,159",83,562,665,475,168,335,737,346,192,275,438,266,188,229,179,39,13,411,372,278,194,16,99,226,21,50
,Switzerland,227,144,313,219,316,276,396,424,406,433,464,371,492,591,557,453,438,522,406,429,464,280,435,286,265,200,207,218,144,48,49,99,48,35,98,9,15,25,45,128,152,79,44,84,12,55,68,86,36,63,111,51,59,93,69,32,74,31,50
,Syria,69,63,17,0,0,0,0,10,0,0,97,40,10,31,0,0,0,0,50,224,100,0,0,185,125,80,17,7,0,7,166,0,0,0,0,0,0,0,432,575,296,176,279,600,500,750,350,900,"1,050",250,300,200,300,100,20,20,200,60,50
,China (Taiwan),,,,,10,7,18,27,87,90,322,405,334,289,205,307,284,280,526,430,338,500,339,325,453,267,428,328,269,247,253,248,242,539,306,213,192,211,194,167,195,172,84,102,134,141,56,74,54,52,46,53,56,56,57,51,56,39,50
,Chile,,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,162,75,8,0,15,15,10,75,53,32,0,10,0,16,15,17,83,54,8,70,90,26,61,67,43,37,33,69,73,71,44,16,73,79,56,93,47,36,34,30
,Ecuador,0,0,0,0,4,0,0,2,0,0,5,6,3,5,6,10,10,16,38,28,30,32,20,62,70,34,21,31,22,22,29,14,7,11,25,35,6,1,15,25,0,0,0,12,19,41,48,33,36,36,27,29,29,27,27,29,38,17,30
,Iraq,1,0,0,0,0,0,0,0,0,1,1,250,0,0,0,25,57,189,105,275,150,20,289,335,275,0,58,319,387,375,0,0,1,10,1,2,0,0,0,0,254,0,0,0,0,0,0,0,21,11,0,2,0,5,0,0,5,14,30
,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,5,2,2,0,1,3,5,3,42,3,6,27,0,6,11,19,13,13,25
,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,90,120,25,60,9,0,0,0,0,1,13,0,4,3,19,50,5,4,0,13,9,48,54,49,14,78,103,2,36,29,25
,"New Zealand, No Islands",0,0,0,0,0,0,0,0,0,13,23,13,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,33,17,25,58,15,1,5,49,39,26,7,1,14,15,5,0,0,0,14,15,19,8,46,32,7,31,19,25
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,8,10,10,10,9,9,11,11,11,4,6,21,18,19,21,147,25
,Egypt,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,17,0,4,83,47,12,32,9,0,0,71,26,19,4,7,21,19,29,21,43,16,42,37,46,98,72,17,76,20
,"Ethiopia, United Ends 6/1993 & New Begin",0,0,0,0,0,0,1,1,1,1,2,2,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,15,0,25,31,3,18,20,20
,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,10,0,3,20,10,0,0,0,5,13,0,13,16,0,16,0,0,0,0,0,0,0,0,10,15,15,15,15,15,15,15
,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,90,120,55,85,80,0,0,0,0,1,0,0,8,0,0,2,3,6,3,1,4,22,16,0,9,3,2,3,3,7,10
,Mexico,42,25,24,8,85,62,36,2,3,3,2,4,27,165,206,30,3,6,103,174,26,107,0,68,47,29,1,2,127,184,139,148,89,87,110,324,131,196,155,212,119,66,31,41,48,31,81,168,123,42,26,144,47,108,184,132,2,1,10
,Norway,21,23,66,27,4,54,73,101,44,196,176,149,109,153,51,126,52,54,42,50,24,12,27,4,9,10,231,95,159,73,0,0,47,67,258,135,76,103,22,11,27,2,1,1,1,17,83,32,1,25,34,124,48,33,20,2,1,8,10
,Pakistan,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,3,4,3,1,1,3,8,46,3,11,10
,Republic Of South Africa,7,3,0,1,1,2,3,4,0,10,20,27,0,18,0,0,0,0,0,0,26,0,0,0,0,0,9,0,0,33,0,167,0,24,20,8,177,139,84,105,122,167,87,69,102,79,51,97,99,54,71,59,37,76,92,18,79,13,10
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,"1,160",550,500,435,303,0,1,3,5,0,0,40,14,95,245,101,10,52,24,41,2,12,47,31,0,14,0,5,11,7,10
,Uruguay,3,3,4,9,6,2,0,3,0,0,0,0,0,0,0,4,0,29,12,32,26,20,25,45,10,26,25,5,4,0,0,11,0,28,19,5,23,61,25,6,11,124,108,3,2,0,0,0,15,36,183,77,252,126,189,107,11,33,10
,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,2,2,2,2,5,5
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,13,7,2,0,24,26,62,57,81,11,49,7,6,0,41,4,4,29,5
,Macedonia (Skopje),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,8,2,15,12,10,10,10,5,4,6,5,0,0,2,0,0,0,0,0,0,4,6,9,3,5
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,24,0,6,21,19,21,6,4,1,3,0,5
,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,275,305,245,325,230,100,0,0,0,1,0,0,0,0,0,0,0,2,4,6,11,8,6,21,4,7,8,0,2,2,5
,Bhutan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,1,1,1,0,1,1
,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,17,128,7,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Australia (No Islands),0,0,0,0,0,0,17,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,18,9,36,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Eritrea, Begins 7/1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,6,18,10,5,6,5,5,5,5,2,10,10,5,0,0,0,0,0,0,0,0,0,0,0
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,50,65,60,40,15,45,0,0,0,0,6,0,1,0,0,0,0,10,9,2,1,6,11,1,9,4,3,1,1,5,0
,Kenya,0,2,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,0,1,16,0,0,0,4,0,0,0
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,275,365,305,300,100,75,0,3,4,6,10,0,0,3,0,0,0,0,4,7,21,1,6,24,3,1,6,0,0,0,0
,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,505,490,485,400,17,10,19,15,11,0,0,0,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,55,90,90,160,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,Yemen United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0
,World,11,8,-194,290,745,-50,72,144,-68,385,734,11,-299,885,45,-384,"1,470","1,151","1,143","-1,037",643,-210,"3,895",-279,121,-46,-15,"-3,251",-5,468,500,"2,938","2,395","1,981",553,291,686,468,561,31,514,317,-184,103,410,443,-98,405,300,479,106,419,453,200,"1,188",-876,871,-184,289
,Total 3/,"5,978","7,632","5,003","7,562","7,524","8,557","6,725","6,988","7,103","8,935","11,547","13,882","12,086","8,655","7,745","9,435","11,168","10,072","10,580","10,161","13,508","14,463","15,981","15,846","17,409","17,675","18,304","18,290","19,017","18,531","19,591","19,441","16,407","18,761","15,298","13,359","17,921","12,831","17,837","17,805","16,262","17,166","16,306","14,806","16,978","17,435","14,597","18,543","18,180","17,261","15,197","21,397","22,162","23,826","30,090","27,556","29,604","26,512","26,505"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coarse grains exporters,United States 4/,"10,932","14,354","15,520","15,977","17,714","25,406","20,945","19,718","16,006","19,226","19,414","20,757","35,603","44,472","34,357","46,339","50,946","56,033","59,858","71,387","69,182","58,055","53,603","55,294","55,239","36,086","47,463","52,930","60,543","69,153","51,919","50,459","51,108","40,042","65,765","58,788","53,224","44,113","57,899","56,812","55,388","53,964","46,394","54,078","50,692","61,443","59,157","68,289","51,558","53,922","49,247","40,106","20,586","56,776","56,419","59,230","61,788","68,734","62,735"
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,155","2,645","1,690",700,425,280,278,488,983,480,"1,134","1,615",933,"1,928","3,826","3,416","3,810","6,465","7,439","3,942","5,946","11,506","10,977","7,490","17,499","15,527","24,125","24,208","21,456","26,868","21,400","33,370"
,Argentina,"2,663","3,747","3,353","3,969","5,370","3,915","6,775","4,200","5,740","6,074","7,710","6,253","4,305","8,476","8,562","5,369","10,676","11,379","10,707","5,332","14,159","10,328","11,624","10,854","10,630","9,667","5,186","5,784","3,736","4,076","4,816","7,354","6,084","4,800","6,269","7,784","11,089","14,268","8,538","9,604","13,016","9,089","13,055","10,834","14,371","11,255","17,232","17,785","10,248","19,029","18,628","22,308","29,497","16,630","21,003","25,291","26,105","25,358","30,805"
,Brazil,10,0,59,724,31,641,602,669,"1,155",562,"2,036",593,168,37,"1,466","1,353","1,337",950,0,0,0,700,485,300,56,0,0,0,0,0,0,0,11,4,54,217,357,6,8,7,"3,800","3,897","3,246","6,191","1,457","2,826","8,188","8,032","7,187","8,627","11,591","12,677","26,078","22,059","21,954","35,415","19,797","25,147","29,515"
,"Russian Federation, Begins 2/1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,940,630,575,840,555,400,429,"1,993",690,322,"1,338",105,393,"1,032","2,668","3,494","1,767","1,534","1,452","1,836","1,419","4,945","2,526","1,028","5,996","4,366","7,074","9,155","8,465","9,258","11,375","7,910"
,EU-28,"3,779","5,153","4,134","6,220","6,349","6,898","7,636","7,954","9,236","10,068","10,500","12,829","7,895","4,641","3,530","6,101","2,293","5,052","4,977","4,833","7,610","5,438","9,372","6,184","11,014","9,590","9,752","8,525","12,536","11,186","9,661","15,777","10,143","10,648","9,717","5,353","9,736","7,477","13,961","13,675","7,722","6,298","8,407","2,004","5,904","3,566","5,356","4,544","4,448","4,294","5,866","7,177","8,943","7,841","15,068","10,979","8,192","7,828","7,052"
,Canada,972,"1,057",741,"1,292","1,045","1,194","1,312","1,240",562,"1,382","4,187","4,630","4,227","2,829","2,805","4,934","4,650","4,242","4,239","3,838","5,510","7,222","7,074","5,425","3,314","5,790","6,625","4,426","4,362","4,517","5,322","4,897","4,140","5,601","4,317","4,495","5,682","3,454","3,239","3,722","3,634","2,463","1,737","3,490","3,279","4,014","3,787","6,379","3,852","3,070","4,427","3,853","4,658","5,482","3,604","4,693","5,042","5,753","5,550"
,Australia (No Islands),"1,122","1,105",622,719,750,485,872,367,857,905,"2,218","3,204","1,639","1,935","3,208","3,167","3,096","1,623","2,946","4,097","2,274","3,444",979,"5,365","6,370","4,975","3,124","2,480","1,990","2,799","3,049","2,357","2,972","4,876","1,465","4,236","4,270","3,233","4,859","3,836","4,953","5,323","2,472","6,752","4,996","5,616","2,000","3,895","4,873","4,419","4,794","7,237","6,411","7,004","7,286","6,389","10,258","7,162","5,425"
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863,132,"1,478","1,366","2,013","2,339",605,"1,799","3,001","1,593","2,447",876,"2,780"
,Paraguay,10,8,5,9,8,1,9,3,0,23,16,5,0,5,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,90,233,124,216,103,126,309,541,208,751,622,371,"1,253","1,909","1,424","1,849","1,363","1,201","2,188","2,861","2,718","3,031","2,663","1,767","1,481","2,215"
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,550","1,500",835,"2,000",150,"1,900",550,800,968,749,301,497,797,299,404,561,635,83,256,619,824,316,362,234,680,158,525,508,851,859,"1,471","2,060"
,Republic Of South Africa,"1,090","1,946","2,698","2,650","1,012",604,910,"3,275","2,431","1,141","1,063","3,065","3,318",462,"3,505","1,553","1,393","2,915","2,605","3,389","4,271","4,762","2,376",192,157,"1,538","2,632",598,"1,965","3,067",739,797,23,"3,261","2,312","1,925","1,647","1,064",828,873,"1,458","1,230","1,190",838,"1,553","1,429",462,"1,145","2,159","1,634","2,857","1,851","2,412","2,128",770,775,"1,820","2,368","1,610"
,Myanmar (Burma),25,14,30,8,11,15,14,10,10,10,12,13,0,4,5,4,6,10,0,0,19,7,30,20,25,25,25,2,1,14,28,29,51,34,70,37,24,33,25,25,41,119,113,144,250,85,125,125,400,300,175,200,750,"1,100","1,250","1,000","1,100","1,200","1,200"
,Mexico,53,2,2,3,947,"1,327","1,068",969,"1,196",402,497,500,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,113,74,72,123,258,16,8,17,164,7,5,27,209,217,109,162,642,87,694,522,501,792,"1,559","1,539",960,"1,000"
,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,140,210,70,60,20,10,11,17,7,39,52,50,50,25,49,92,64,31,60,10,65,80,140,78,42,401,341,319,363,550,775
,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,11,0,44,15,60,7,10,11,10,10,0,0,0,3,5,41,125,23,83,28,27,2,13,92,26,56,"1,268",505,501,721,"5,539","2,642","2,072","3,437","4,854","5,576","4,523","1,404",629,578,"1,217",575
,Vietnam,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,25,45,8,27,96,49,30,84,52,94,30,66,19,4,0,0,103,12,3,76,3,0,1,10,1,0,0,5,5,400,500,500,500,500,500
,Zambia,0,1,1,1,0,24,44,119,127,30,0,0,9,39,111,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,9,0,0,0,0,0,0,0,0,100,150,25,175,100,0,100,300,500,500,200,700,700,600,700,400
,Cambodia,140,106,131,86,100,101,106,80,73,54,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,1,0,0,0,0,0,0,200,200,175,250,300,200,200,100,200,300,300,200,200,300,350,350
,Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,0,0,5,5,0,100,10,60,100,75,125,250,250,250,250,200,150,300,250,300,200,300
,Tanzania,36,0,0,2,39,2,7,0,60,0,46,7,30,0,0,0,0,0,125,0,0,0,0,0,0,0,9,98,24,56,14,0,0,0,8,0,0,0,0,0,0,20,0,0,0,0,100,30,10,5,75,210,35,605,355,405,55,105,205
,Thailand,519,589,722,923,896,"1,218","1,313","1,263","1,342","1,573","1,784","2,259","1,136","2,319","2,186","2,556","2,085","1,470","2,101","2,234","2,363","3,478","2,501","3,576","3,489","4,026","2,632",849,"1,247","1,320","1,262",462,205,96,163,84,25,85,107,75,418,200,168,747,400,134,458,670,718,972,342,224,117,"1,120",249,441,697,228,205
,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,50,50,50,250,250,150,150,150,150,160,175,100,150,300,250,300,200,200
,Turkey,19,73,58,36,77,68,0,0,0,0,0,41,30,0,0,103,300,89,35,27,95,293,688,321,183,8,5,260,202,22,208,"1,075",531,816,850,299,383,"1,396",798,184,158,509,513,12,37,857,357,11,179,962,15,125,16,262,70,51,122,93,150
,Uruguay,1,8,3,1,0,15,4,1,2,3,8,18,5,10,44,16,90,127,173,80,178,150,59,115,165,140,167,95,20,2,34,32,78,43,48,82,163,57,20,37,26,39,3,12,0,41,213,47,0,264,0,189,446,101,59,50,114,8,100
,China (Mainland),31,3,19,98,285,233,123,26,36,1,31,375,275,250,325,350,225,125,100,100,200,200,100,340,"5,740","7,115","4,129","4,584","5,155","3,351","7,211","10,436","11,854","11,839","1,522",177,"3,996","6,203","3,361","9,954","7,296","8,630","15,336","7,723","7,620","3,756","5,462",853,221,205,188,131,109,33,22,27,111,62,90
,"Ethiopia, United Ends 6/1993 & New Begin",0,1,4,6,1,2,2,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0,0,0,0,0,0,0,0,0,140,85,80,75,75,75,137,75,75
,Kenya,2,9,68,52,2,0,0,233,258,7,5,0,141,141,5,220,55,25,145,0,0,0,77,0,0,175,318,100,126,147,45,0,0,0,140,231,21,8,0,0,0,180,0,0,0,0,43,29,8,48,25,31,41,54,78,47,87,156,60
,Chile,,1,4,2,6,9,7,11,14,10,59,17,10,15,31,37,34,26,1,0,3,7,0,0,0,2,15,5,18,0,3,11,3,1,1,8,12,45,29,27,20,69,69,106,87,99,117,91,107,91,179,191,145,124,107,51,51,61,55
,Uganda,2,1,12,6,4,2,31,3,3,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,101,69,81,29,33,23,5,24,42,31,92,50,50,55,25,30,110,110,115,110,305,255,105,105,405,55
,Indonesia,0,0,0,0,0,45,121,111,110,202,246,156,90,215,200,51,4,10,21,23,15,5,0,160,5,10,4,42,231,125,28,145,81,35,60,37,20,559,144,29,90,19,19,41,46,42,79,91,101,37,12,39,11,12,256,21,3,272,50
,Malaysia,7,12,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,18,30,9,0,223,129,211,33,8,12,14,43,0,2,3,11,2,18,4,42,30,30,30
,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,0,2,28,0,2,4,7,4,12,32,20,40,37,2,44,74,8,95,74,7,24,25
,Burkina Faso,0,0,0,0,1,3,4,0,2,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,35,20,0,30,60,20,20,30,25,25
,Jordan,0,4,0,0,5,0,0,3,0,0,0,1,1,0,0,0,10,0,0,13,10,17,42,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,28,7,9,23,18,25,25,25,25,25,25
,Malawi,,20,20,20,1,44,91,87,44,0,0,5,5,0,0,0,0,0,0,0,0,50,100,100,120,80,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,100,1,0,200,100,300,300,300,300,300,100,100,50,25,25,25
,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,440,340,240,280,100,69,2,8,0,0,0,50,30,150,50,50,50,50,75,33,31,42,210,300,200,25,66,11,9,20
,Pakistan,0,0,0,0,0,0,0,5,5,5,8,10,18,50,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,100,100,100,300,150,10,50,80,30,20,20
,Bosnia-Hercegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,57,0,0,30,1,0,154,0,0,0,0,0,0,0,0,10,25,5,0,0,50,75,5,10,1,10
,Egypt,3,2,4,4,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,78,29,35,34,8,5,9,4,6,10,10,10
,Israel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,26,40,55,50,10,10,10,10,10,10
,Peru,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,2,2,0,2,0,5,2,1,5,4,4,2,3,3,0,4,7,5,7,7,6,8,8,7,9,7,8,9,9,8,9,8,9,10
,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,10,10,10,10,10,10
,Yemen United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,15,10,10,10,10,10,10,10,10
,Ivory Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,44,26,11,11,64,35,5
,El Salvador,12,5,2,3,3,2,9,12,2,3,43,32,5,0,0,0,0,0,1,18,10,0,0,0,10,20,0,0,0,0,0,0,0,0,16,4,6,5,5,5,0,0,0,0,0,0,0,0,4,3,0,0,17,1,7,9,2,5,5
,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,25,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,1,0,1,4,5,5
,Guatemala,2,2,1,6,2,3,5,2,1,3,1,1,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,48,13,82,10,10,10,10,1,4,6,6,4,7,19,7,11,16,2,11,3,6,9,3,5,5
